experiment	feature_set	domain	class	precision_mean	precision_std	recall_mean	recall_std	f1_mean	f1_std
binary_domain	structure	blog_authorship_corpus	human	0.6019290285206995	0.011663820455037935	0.46934426229508197	0.01385226973358361	0.5273424739115234	0.011659473353113993
binary_domain	structure	blog_authorship_corpus	llm	0.5651265645787389	0.007446352936905068	0.689535519125683	0.013341863860218706	0.6211205572763724	0.008665629689932368
binary_domain	structure	cnn_news	human	0.6408141711399267	0.010007023145036693	0.6086109011331904	0.014001655589773088	0.6242088255235952	0.009824622000987139
binary_domain	structure	cnn_news	llm	0.6273743572952156	0.008640391621480566	0.6587624304052632	0.014659372408996275	0.6426114954818426	0.009572562994611882
binary_domain	structure	euro_court_cases	human	0.6582211813484955	0.01497352755109486	0.7105797101449275	0.02046528920343661	0.6832704779880838	0.014936964237875074
binary_domain	structure	euro_court_cases	llm	0.6856437933822624	0.01704695517104467	0.6307971014492754	0.021849659645884208	0.6569092161054289	0.016881551803989668
binary_domain	structure	house_of_commons	human	0.6546004017993807	0.01142220746322554	0.7014893617021276	0.017203071045584464	0.6771046386278604	0.010805958728662883
binary_domain	structure	house_of_commons	llm	0.6785048664325669	0.012253106193408088	0.629607201309329	0.019434546586396085	0.6529761586689875	0.012953769421475721
binary_domain	structure	student_essays	human	0.7296082894805582	0.006874132917844544	0.6762737799834574	0.008933608767425043	0.7018946369486574	0.006412793547434665
binary_domain	structure	student_essays	llm	0.6983439027042594	0.0059814075037072836	0.749321753515302	0.008495312231735011	0.7229087330492959	0.0057317599967027085
binary_domain	syntax	arxiv_papers	human	0.9866553624883596	0.008156656388004996	0.9942021276595745	0.004542166755673885	0.9903946041760533	0.004909865475006716
binary_domain	syntax	arxiv_papers	llm	0.9941732275075498	0.004548057368825395	0.9864893617021276	0.00833076081395241	0.9902959937841855	0.00499665731139603
binary_domain	syntax	blog_authorship_corpus	human	0.8358524144073287	0.009738642055554452	0.7983151183970857	0.008813278569635962	0.816604613857408	0.006773784178664971
binary_domain	syntax	blog_authorship_corpus	llm	0.8070015306788509	0.006963073076053984	0.8431056466302368	0.011067497729547626	0.824618187921909	0.007018750031313057
binary_domain	syntax	cnn_news	human	0.9591759718962356	0.0055048318259404904	0.9575358544490582	0.0054433134440105444	0.9583373424177241	0.003556864014557882
binary_domain	syntax	cnn_news	llm	0.957643756966622	0.00516099826111875	0.9592125482805397	0.005763878022333425	0.9584097451903929	0.003564758968027308
binary_domain	syntax	euro_court_cases	human	0.9883160583988732	0.005144634054923465	0.9943236714975845	0.003473713662616694	0.9912984462757336	0.0026530872814152736
binary_domain	syntax	euro_court_cases	llm	0.9943061692492213	0.0034600260863883116	0.9882125603864733	0.005266105618157651	0.991237326959469	0.002697955694814758
binary_domain	syntax	house_of_commons	human	0.9698034931534802	0.0067189730963488235	0.9732733224222586	0.007249000082394346	0.9715146002130303	0.005337778517860557
binary_domain	syntax	house_of_commons	llm	0.9732197902834265	0.0071222336798569645	0.9696563011456628	0.0069298015279345496	0.9714136189214231	0.00534791693412779
binary_domain	syntax	student_essays	human	0.9618500199620935	0.003861069658678214	0.9543961952026468	0.003871494257867704	0.9581009082537474	0.0027404235766010287
binary_domain	syntax	student_essays	llm	0.9547599098110703	0.0036624901171367933	0.9621298593879238	0.00399249917039193	0.958423229170299	0.002725713262775463
multiclass_all	all	all	gemma2_9b	0.8408323318654305	0.004501134129473496	0.8307056854909842	0.0059338381005101665	0.8357250512259847	0.0040822176128514345
multiclass_all	all	all	gpt-4o-mini	0.8458939123456151	0.004745281779960217	0.8548554528515265	0.004850399269238148	0.8503383469248476	0.003480135550399201
multiclass_all	all	all	human	0.9278625599428565	0.00357837783977989	0.9291461761759554	0.00420252835667503	0.9284955382572538	0.0027127934043025266
multiclass_all	information_theoretic	all	gemma2_9b	0.3816104543444218	0.007576218866901007	0.3232272076597237	0.011414736646463839	0.3499111530578323	0.008540355324699687
multiclass_all	information_theoretic	all	gpt-4o-mini	0.5646424851051376	0.004684764455892969	0.6923002725152573	0.009498384883208165	0.6219577704579395	0.0053012388069098105
multiclass_all	information_theoretic	all	human	0.5322705637759909	0.009120626382904557	0.4931788992704225	0.015181477647231075	0.5118368676917975	0.009605371942186173
multiclass_all	readability	all	gemma2_9b	0.5928676813456335	0.005684755431842616	0.6711800014333237	0.007318120769535284	0.6295812592508859	0.005554232864127677
multiclass_all	readability	all	gpt-4o-mini	0.571884678098356	0.00970168698324259	0.32826933910653006	0.007491028459282591	0.4170574522451683	0.007277753707545148
multiclass_all	readability	all	human	0.6148087986789976	0.004959369774410102	0.7953726720303423	0.006404432481369839	0.6935132742447899	0.0043528746750016055
multiclass_all	reading_time	all	gemma2_9b	0.3425580523785161	0.0035360817150757186	0.5942956415147238	0.008072090873250854	0.4345974542754809	0.004700457974938346
multiclass_all	reading_time	all	gpt-4o-mini	0.2506235434768867	0.010449962115879542	0.062118420886833586	0.0037270061143795936	0.09953262144379144	0.0054034409444690765
multiclass_all	reading_time	all	human	0.3296715545331388	0.005384353235357288	0.3353750418709021	0.007823710733049506	0.3324760992586277	0.0060875815612020726
multiclass_all	structure	all	gemma2_9b	0.41551555049281724	0.009347305686803833	0.3267037926374416	0.0231862941728923	0.3651391487565708	0.013355230422334767
multiclass_all	structure	all	gpt-4o-mini	0.45116078339682103	0.010559705894262972	0.3271444136603621	0.025751773295881013	0.3784807391947217	0.015325850933086064
multiclass_all	structure	all	human	0.44449467178656854	0.003613748449377516	0.6606974983514152	0.007165423702545907	0.5314358466129722	0.0041939339959613025
multiclass_all	syntax	all	gemma2_9b	0.7823794509827229	0.005216330071008373	0.7721032692642902	0.007208908007250929	0.7771873792015511	0.004901584705772232
multiclass_all	syntax	all	gpt-4o-mini	0.7740463352005507	0.005987560730348723	0.7648506600114245	0.006299317187313133	0.7693973707821433	0.004408015965804755
multiclass_all	syntax	all	human	0.8614321715530053	0.004336272262223038	0.8828787721876403	0.005108735065246769	0.8720088525673501	0.0030524934404882326
multiclass_domain	all	arxiv_papers	gemma2_9b	0.9631816112441416	0.013395659236450011	0.9617553191489363	0.014962823916799251	0.9623581109296196	0.009774285479907295
multiclass_domain	all	arxiv_papers	gpt-4o-mini	0.9608933176476597	0.01446398313074065	0.9638829787234043	0.01396704441526793	0.9622748383687949	0.009730414569947471
multiclass_domain	all	arxiv_papers	human	0.997719748398371	0.0036260862515045547	0.9956382978723404	0.0038830854434813173	0.9966716033267023	0.0027889267666543938
multiclass_domain	all	blog_authorship_corpus	gemma2_9b	0.7430016434440045	0.02282994471413412	0.7372788284619793	0.023854738192636813	0.7398609968427811	0.01862682676474009
multiclass_domain	all	blog_authorship_corpus	gpt-4o-mini	0.7446830367159137	0.021599530925528347	0.7587245498144966	0.024096896508963437	0.7513755096345569	0.018071800817210822
