experiment	feature_set	domain	accuracy_mean	accuracy_std	precision_macro_mean	precision_macro_std	recall_macro_mean	recall_macro_std	f1_macro_mean	f1_macro_std	f1_weighted_mean	f1_weighted_std	roc_auc_mean	roc_auc_std
binary_domain	readability	euro_court_cases	0.967463768115942	0.00599289750028164	0.9676859228293089	0.005927778382598695	0.967463768115942	0.005992897500281631	0.9674596537678309	0.00599504198500446	0.9674596537678309	0.005995041985004444	0.9937048122476604	0.00201882989185733
binary_domain	readability	house_of_commons	0.9247381342062194	0.006874700320696047	0.9249236099748823	0.00687676284785574	0.9247381342062194	0.006874700320696042	0.9247299062921414	0.006875496235188942	0.9247299062921414	0.006875496235188924	0.9666587467621699	0.004674122547220856
binary_domain	readability	student_essays	0.8668589743589743	0.004234685620847471	0.8680236597789468	0.004246313260460124	0.8668589743589743	0.004234685620847465	0.8667534966794003	0.004240234212774943	0.8667534966794003	0.00424023421277495	0.9363644085132118	0.002751481367802777
binary_domain	reading_time	arxiv_papers	0.9608510638297872	0.008081754709267155	0.9634983331742013	0.007077009714105795	0.9608510638297872	0.008081754709267159	0.960790149493691	0.008116909762601569	0.960790149493691	0.008116909762601562	0.9837444827976459	0.007091860599086693
binary_domain	reading_time	blog_authorship_corpus	0.5080145719489981	0.009844852246891422	0.5090048101840383	0.011064747469849853	0.5080145719489981	0.00984485224689142	0.49381840511612707	0.010580492190941537	0.49381840511612707	0.01058049219094154	0.5000694755491853	0.011846489865712781
binary_domain	reading_time	cnn_news	0.5780352995819786	0.008369673767787265	0.5799344414591696	0.008512915316488349	0.5780316640951563	0.008366337245847203	0.575498302354044	0.008551749636173958	0.575499871307553	0.008553025409031847	0.5955047236402923	0.010286105506280967
binary_domain	reading_time	euro_court_cases	0.6596980676328502	0.01465235140295477	0.6719039257360447	0.015526357786089389	0.6596980676328502	0.014652351402954782	0.6535335746248557	0.015225391847789448	0.6535335746248557	0.015225391847789453	0.6717995752526313	0.017492142023321167
binary_domain	reading_time	house_of_commons	0.6273486088379705	0.010749170762395078	0.6589035039949452	0.013911768293433524	0.6273486088379705	0.010749170762395075	0.6079187181108362	0.011654859159127413	0.6079187181108362	0.011654859159127423	0.5935702652676919	0.013984204831667854
binary_domain	reading_time	student_essays	0.5126861042183622	0.006110906090693958	0.5129277227629259	0.0062286461638284924	0.5126861042183622	0.006110906090693955	0.5104064607529711	0.00613740656947674	0.5104064607529711	0.006137406569476732	0.521541490585155	0.007787780678623496
binary_domain	structure	arxiv_papers	0.851436170212766	0.017256809180355066	0.855690260882463	0.016920099824922447	0.851436170212766	0.017256809180355076	0.8509793029523778	0.017395331978707435	0.8509793029523778	0.01739533197870745	0.9233677569035763	0.01270532552496794
binary_domain	structure	blog_authorship_corpus	0.5794398907103825	0.008941837866023929	0.5835277965497192	0.009396059079691575	0.5794398907103825	0.00894183786602393	0.5742315155939479	0.009157597711966505	0.5742315155939479	0.009157597711966515	0.5972562839871135	0.00997500544963209
binary_domain	structure	cnn_news	0.6336878773803994	0.008760846224469819	0.6340942642175712	0.008808568844238893	0.6336866657692268	0.008762128753582862	0.6334101605027189	0.008760155728815706	0.6334106663465602	0.008759656703316005	0.6802260426698146	0.009244590436703675
binary_domain	structure	euro_court_cases	0.6706884057971014	0.015084589947778162	0.6719324873653789	0.01515872070365434	0.6706884057971014	0.015084589947778148	0.6700898470467562	0.015138546614605295	0.6700898470467562	0.015138546614605298	0.7335406893976523	0.01582731074931031
binary_domain	structure	house_of_commons	0.6655482815057283	0.010738921114708307	0.6665526341159738	0.01074034499013939	0.6655482815057283	0.010738921114708304	0.665040398648424	0.010803011885370353	0.665040398648424	0.01080301188537035	0.6952003771553167	0.011766215214345814
binary_domain	structure	student_essays	0.7127977667493797	0.0057552741697677575	0.7139760960924088	0.005781547496130367	0.7127977667493797	0.005755274169767759	0.7124016849989766	0.005772922014585989	0.7124016849989766	0.005772922014585984	0.7739757426552032	0.005901802657174595
binary_domain	syntax	arxiv_papers	0.9903457446808511	0.00495265167498703	0.9904142949979547	0.004911446537883722	0.9903457446808511	0.004952651674987041	0.9903452989801194	0.004953057621554607	0.9903452989801194	0.00495305762155457	0.9966231892258941	0.003573580130976601
binary_domain	syntax	blog_authorship_corpus	0.8207103825136612	0.006788639178553003	0.8214269725430898	0.006934948151708993	0.8207103825136612	0.006788639178553004	0.8206114008896586	0.0067771923402863785	0.8206114008896586	0.006777192340286392	0.8782447719151563	0.006905860235494196
binary_domain	syntax	cnn_news	0.9583743613562471	0.003556195370480603	0.9584098644314288	0.003560052899404348	0.9583742013647989	0.003556161604383452	0.9583735438040584	0.0035561781529726793	0.9583735589471533	0.003556179191988978	0.9906370701349266	0.0015856965155865647
binary_domain	syntax	euro_court_cases	0.9912681159420289	0.002675103492861786	0.9913111138240472	0.0026480288201353925	0.9912681159420289	0.002675103492861802	0.9912678866176013	0.0026753103767088813	0.9912678866176013	0.002675310376708875	0.9980657658288408	0.0018568829551038426
binary_domain	syntax	house_of_commons	0.9714648117839607	0.005341078483023507	0.9715116417184534	0.005344125098542331	0.9714648117839607	0.005341078483023494	0.9714641095672266	0.005341157230893713	0.9714641095672266	0.00534115723089374	0.9883649459848227	0.003363681020934932
binary_domain	syntax	student_essays	0.9582630272952853	0.002730294289547209	0.958304964886582	0.002728519400242213	0.9582630272952853	0.0027302942895471947	0.9582620687120234	0.0027304201966397695	0.9582620687120234	0.0027304201966397517	0.9902368830818763	0.001074424133352118
